year,brand,superbowl_ads_link,youtube_link,length,estimated_cost,youtube_views,youtube_likes,tv_viewers,funny,shows_product_quickly,patriotic,celebrity,danger,animals,uses_sex,no_youtube_likes
2000,E-Trade,https://superbowl-ads.com/2000-etrade-monkey-dance/,https://www.youtube.com/watch?v=Muyq2kMDFoA,30,2.1,13615.0,84.0,88.5,1,1,0,0,0,1,0,13531.0
2000,E-Trade,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,https://www.youtube.com/watch?v=oftjwYmlfoA,30,2.1,72772.0,146.0,88.5,1,1,0,0,1,0,0,72626.0
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup-game/,https://www.youtube.com/watch?v=loimTUjV92Q,30,2.1,5399.0,11.0,88.5,1,1,0,0,0,0,0,5388.0
2000,Bud Light,https://superbowl-ads.com/2000-bud-light-hold-the-door/,https://www.youtube.com/watch?v=M3IV93HwSkc,30,2.1,6699.0,8.0,88.5,1,1,0,0,1,0,0,6691.0
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-talking-dog/,https://www.youtube.com/watch?v=dK1tlG778J8,30,2.1,18972.0,6.0,88.5,1,0,0,0,0,1,0,18966.0
2000,Bud Light,https://superbowl-ads.com/2000-bud-light-she-has-a-cat/,https://www.youtube.com/watch?v=drE6cpCB6Po,30,2.1,146.0,3.0,88.5,1,0,0,0,1,1,1,143.0
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup/,https://www.youtube.com/watch?v=JJmqCKtJnxM,60,4.2,4047977.0,31000.0,88.5,1,1,0,0,0,0,0,4016977.0
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-rex/,https://www.youtube.com/watch?v=GgXsLHifz9k,60,4.2,112246.0,163.0,88.5,1,0,0,0,1,1,0,112083.0
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4,30,2.1,3613.0,10.0,84.3,1,1,0,0,0,1,0,3603.0
2001,Budweiser,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,https://www.youtube.com/watch?v=gtmJEt0w1k4,30,2.1,58606.0,212.0,84.3,1,1,0,0,0,0,0,58394.0
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,https://www.youtube.com/watch?v=J89vbNUzhIE,30,2.1,73526.0,353.0,84.3,1,0,0,0,1,0,1,73173.0
