,brand,year,Total runtime of ads in hours
0,Bud Light,2000,0.016666666666666666
1,Bud Light,2001,0.025
2,Bud Light,2002,0.03333333333333333
3,Bud Light,2003,0.05
4,Bud Light,2004,0.041666666666666664
5,Bud Light,2005,0.016666666666666666
6,Bud Light,2006,0.016666666666666666
7,Bud Light,2007,0.041666666666666664
8,Bud Light,2008,0.058333333333333334
9,Bud Light,2009,0.016666666666666666
10,Bud Light,2010,0.029166666666666667
11,Bud Light,2011,0.008333333333333333
12,Bud Light,2012,0.025
13,Bud Light,2013,0.016666666666666666
14,Bud Light,2014,0.025
15,Bud Light,2018,0.029166666666666667
16,Bud Light,2019,0.041666666666666664
17,Bud Light,2020,0.016666666666666666
18,Bud Light,2021,0.03333333333333333
19,Budweiser,2000,0.05
20,Budweiser,2001,0.016666666666666666
21,Budweiser,2002,0.03333333333333333
22,Budweiser,2003,0.025
23,Budweiser,2004,0.03333333333333333
24,Budweiser,2006,0.025
25,Budweiser,2007,0.041666666666666664
26,Budweiser,2008,0.016666666666666666
27,Budweiser,2009,0.025
28,Budweiser,2010,0.016666666666666666
29,Budweiser,2012,0.03333333333333333
30,Budweiser,2013,0.0375
31,Budweiser,2014,0.016666666666666666
32,Budweiser,2015,0.025
33,Budweiser,2016,0.016666666666666666
34,Budweiser,2017,0.016666666666666666
35,Budweiser,2018,0.016666666666666666
36,Budweiser,2020,0.016666666666666666
37,Coca-Cola,2007,0.03333333333333333
38,Coca-Cola,2008,0.03333333333333333
39,Coca-Cola,2009,0.05
40,Coca-Cola,2011,0.03333333333333333
41,Coca-Cola,2012,0.03333333333333333
42,Coca-Cola,2014,0.03333333333333333
43,Coca-Cola,2015,0.016666666666666666
44,Coca-Cola,2016,0.016666666666666666
45,Coca-Cola,2018,0.03333333333333333
46,Coca-Cola,2019,0.016666666666666666
47,Coca-Cola,2020,0.016666666666666666
48,Doritos,2001,0.008333333333333333
49,Doritos,2007,0.016666666666666666
50,Doritos,2008,0.008333333333333333
51,Doritos,2009,0.025
52,Doritos,2010,0.025
53,Doritos,2011,0.008333333333333333
54,Doritos,2012,0.016666666666666666
55,Doritos,2013,0.016666666666666666
56,Doritos,2014,0.016666666666666666
57,Doritos,2015,0.016666666666666666
58,Doritos,2016,0.016666666666666666
59,Doritos,2018,0.016666666666666666
60,Doritos,2019,0.016666666666666666
61,Doritos,2020,0.016666666666666666
62,Doritos,2021,0.016666666666666666
63,E-Trade,2000,0.016666666666666666
64,E-Trade,2001,0.016666666666666666
65,E-Trade,2002,0.008333333333333333
66,E-Trade,2007,0.008333333333333333
67,E-Trade,2009,0.008333333333333333
68,E-Trade,2010,0.020833333333333332
69,E-Trade,2012,0.008333333333333333
70,E-Trade,2013,0.008333333333333333
71,E-Trade,2018,0.008333333333333333
72,E-Trade,2021,0.008333333333333333
73,Hyundai,2008,0.008333333333333333
74,Hyundai,2009,0.016666666666666666
75,Hyundai,2010,0.016666666666666666
76,Hyundai,2011,0.03333333333333333
77,Hyundai,2012,0.008333333333333333
78,Hyundai,2013,0.05416666666666667
79,Hyundai,2014,0.016666666666666666
80,Hyundai,2016,0.0375
81,Hyundai,2017,0.025
82,Hyundai,2018,0.016666666666666666
83,Hyundai,2019,0.016666666666666666
84,Hyundai,2020,0.016666666666666666
85,Kia,2010,0.016666666666666666
86,Kia,2011,0.016666666666666666
87,Kia,2012,0.025
88,Kia,2013,0.025
89,Kia,2014,0.025
90,Kia,2015,0.020833333333333332
91,Kia,2016,0.020833333333333332
92,Kia,2017,0.020833333333333332
93,Kia,2018,0.016666666666666666
94,Kia,2019,0.008333333333333333
95,Kia,2020,0.016666666666666666
96,NFL,2003,0.016666666666666666
97,NFL,2010,0.016666666666666666
98,NFL,2012,0.016666666666666666
99,NFL,2016,0.05
100,NFL,2017,0.025
101,NFL,2018,0.016666666666666666
102,NFL,2019,0.03333333333333333
103,NFL,2020,0.04722222222222222
104,Pepsi,2001,0.04583333333333333
105,Pepsi,2002,0.025
106,Pepsi,2004,0.020833333333333332
107,Pepsi,2005,0.04583333333333333
108,Pepsi,2006,0.025
109,Pepsi,2008,0.016666666666666666
110,Pepsi,2009,0.025
111,Pepsi,2011,0.008333333333333333
112,Pepsi,2012,0.016666666666666666
113,Pepsi,2013,0.0125
114,Pepsi,2015,0.008333333333333333
115,Pepsi,2016,0.008333333333333333
116,Pepsi,2018,0.016666666666666666
117,Pepsi,2019,0.025
118,Pepsi,2020,0.008333333333333333
119,Toyota,2004,0.008333333333333333
120,Toyota,2007,0.008333333333333333
121,Toyota,2012,0.016666666666666666
122,Toyota,2014,0.008333333333333333
123,Toyota,2015,0.016666666666666666
124,Toyota,2016,0.025
125,Toyota,2018,0.03333333333333333
126,Toyota,2019,0.016666666666666666
127,Toyota,2020,0.016666666666666666
128,Toyota,2021,0.016666666666666666
